,LAND,TID,INDHOLD,SITC
1439,Guyana,2021,0,Kemikalier og relaterede produkter
1451,Haiti,2018,0,Kemikalier og relaterede produkter
1452,Haiti,2019,0,Kemikalier og relaterede produkter
1453,Haiti,2020,0,Kemikalier og relaterede produkter
1454,Haiti,2021,1,Kemikalier og relaterede produkter
1466,Heard- og McDonaldøerne,2018,0,Kemikalier og relaterede produkter
1467,Heard- og McDonaldøerne,2019,0,Kemikalier og relaterede produkter
1468,Heard- og McDonaldøerne,2020,0,Kemikalier og relaterede produkter
1469,Heard- og McDonaldøerne,2021,0,Kemikalier og relaterede produkter
1481,Honduras,2018,0,Kemikalier og relaterede produkter
1482,Honduras,2019,0,Kemikalier og relaterede produkter
1483,Honduras,2020,0,Kemikalier og relaterede produkter
1484,Honduras,2021,4,Kemikalier og relaterede produkter
1496,Hongkong,2018,8352,Kemikalier og relaterede produkter
1497,Hongkong,2019,11800,Kemikalier og relaterede produkter
1498,Hongkong,2020,22085,Kemikalier og relaterede produkter
1499,Hongkong,2021,20857,Kemikalier og relaterede produkter
1511,Indien,2018,368570,Kemikalier og relaterede produkter
1512,Indien,2019,408934,Kemikalier og relaterede produkter
1513,Indien,2020,404277,Kemikalier og relaterede produkter
1514,Indien,2021,545125,Kemikalier og relaterede produkter
1526,Indonesien,2018,128736,Kemikalier og relaterede produkter
1527,Indonesien,2019,165518,Kemikalier og relaterede produkter
1528,Indonesien,2020,156907,Kemikalier og relaterede produkter
1529,Indonesien,2021,70541,Kemikalier og relaterede produkter
1541,Irak,2018,0,Kemikalier og relaterede produkter
1542,Irak,2019,0,Kemikalier og relaterede produkter
1543,Irak,2020,0,Kemikalier og relaterede produkter
1544,Irak,2021,2,Kemikalier og relaterede produkter
1556,Iran,2018,0,Kemikalier og relaterede produkter
1557,Iran,2019,559,Kemikalier og relaterede produkter
1558,Iran,2020,4,Kemikalier og relaterede produkter
1559,Iran,2021,206,Kemikalier og relaterede produkter
1571,Irland,2018,1942481,Kemikalier og relaterede produkter
1572,Irland,2019,1930220,Kemikalier og relaterede produkter
1573,Irland,2020,2026359,Kemikalier og relaterede produkter
1574,Irland,2021,1270764,Kemikalier og relaterede produkter
1586,Island,2018,447,Kemikalier og relaterede produkter
1587,Island,2019,841,Kemikalier og relaterede produkter
1588,Island,2020,688,Kemikalier og relaterede produkter
1589,Island,2021,4880,Kemikalier og relaterede produkter
1601,Israel,2018,61031,Kemikalier og relaterede produkter
1602,Israel,2019,115916,Kemikalier og relaterede produkter
1603,Israel,2020,154530,Kemikalier og relaterede produkter
1604,Israel,2021,129788,Kemikalier og relaterede produkter
1616,Italien,2018,2176698,Kemikalier og relaterede produkter
1617,Italien,2019,2522299,Kemikalier og relaterede produkter
1618,Italien,2020,2750918,Kemikalier og relaterede produkter
1619,Italien,2021,3012804,Kemikalier og relaterede produkter
1631,Jamaica,2018,38,Kemikalier og relaterede produkter
1632,Jamaica,2019,0,Kemikalier og relaterede produkter
1633,Jamaica,2020,0,Kemikalier og relaterede produkter
1634,Jamaica,2021,0,Kemikalier og relaterede produkter
1646,Japan,2018,312159,Kemikalier og relaterede produkter
1647,Japan,2019,267015,Kemikalier og relaterede produkter
1648,Japan,2020,305572,Kemikalier og relaterede produkter
1649,Japan,2021,369826,Kemikalier og relaterede produkter
1661,Jordan,2018,1,Kemikalier og relaterede produkter
1662,Jordan,2019,216,Kemikalier og relaterede produkter
1663,Jordan,2020,4531,Kemikalier og relaterede produkter
1664,Jordan,2021,878,Kemikalier og relaterede produkter
1676,Jugoslavien,2018,0,Kemikalier og relaterede produkter
1677,Jugoslavien,2019,0,Kemikalier og relaterede produkter
1678,Jugoslavien,2020,0,Kemikalier og relaterede produkter
1679,Jugoslavien,2021,0,Kemikalier og relaterede produkter
1691,Juleøen,2018,0,Kemikalier og relaterede produkter
1692,Juleøen,2019,0,Kemikalier og relaterede produkter
1693,Juleøen,2020,0,Kemikalier og relaterede produkter
1694,Juleøen,2021,0,Kemikalier og relaterede produkter
1706,Kanariske Øer,2018,0,Kemikalier og relaterede produkter
1707,Kanariske Øer,2019,0,Kemikalier og relaterede produkter
1708,Kanariske Øer,2020,0,Kemikalier og relaterede produkter
1709,Kanariske Øer,2021,0,Kemikalier og relaterede produkter
1721,Kap Verde,2018,0,Kemikalier og relaterede produkter
1722,Kap Verde,2019,0,Kemikalier og relaterede produkter
1723,Kap Verde,2020,0,Kemikalier og relaterede produkter
1724,Kap Verde,2021,0,Kemikalier og relaterede produkter
1736,Kasakhstan,2018,44525,Kemikalier og relaterede produkter
1737,Kasakhstan,2019,83917,Kemikalier og relaterede produkter
1738,Kasakhstan,2020,75206,Kemikalier og relaterede produkter
1739,Kasakhstan,2021,61475,Kemikalier og relaterede produkter
1751,Kenya,2018,8312,Kemikalier og relaterede produkter
1752,Kenya,2019,6935,Kemikalier og relaterede produkter
