,LAND,TID,INDHOLD,SITC
958,Egypten,2020,29232,Mineralbrændstoffer og smøremidler
959,Egypten,2021,44530,Mineralbrændstoffer og smøremidler
971,El Salvador,2018,67,Mineralbrændstoffer og smøremidler
972,El Salvador,2019,125,Mineralbrændstoffer og smøremidler
973,El Salvador,2020,226,Mineralbrændstoffer og smøremidler
974,El Salvador,2021,885,Mineralbrændstoffer og smøremidler
986,Elfenbenskysten,2018,1013,Mineralbrændstoffer og smøremidler
987,Elfenbenskysten,2019,454,Mineralbrændstoffer og smøremidler
988,Elfenbenskysten,2020,12438,Mineralbrændstoffer og smøremidler
989,Elfenbenskysten,2021,454,Mineralbrændstoffer og smøremidler
1001,Eritrea,2018,1,Mineralbrændstoffer og smøremidler
1002,Eritrea,2019,0,Mineralbrændstoffer og smøremidler
1003,Eritrea,2020,0,Mineralbrændstoffer og smøremidler
1004,Eritrea,2021,0,Mineralbrændstoffer og smøremidler
1016,Estland,2018,229341,Mineralbrændstoffer og smøremidler
1017,Estland,2019,156023,Mineralbrændstoffer og smøremidler
1018,Estland,2020,55030,Mineralbrændstoffer og smøremidler
1019,Estland,2021,180157,Mineralbrændstoffer og smøremidler
1031,Eswantini,2018,0,Mineralbrændstoffer og smøremidler
1032,Eswantini,2019,0,Mineralbrændstoffer og smøremidler
1033,Eswantini,2020,0,Mineralbrændstoffer og smøremidler
1034,Eswantini,2021,0,Mineralbrændstoffer og smøremidler
1046,Etiopien,2018,1786,Mineralbrændstoffer og smøremidler
1047,Etiopien,2019,158,Mineralbrændstoffer og smøremidler
1048,Etiopien,2020,77,Mineralbrændstoffer og smøremidler
1049,Etiopien,2021,125,Mineralbrændstoffer og smøremidler
1061,Falklandsøerne,2018,0,Mineralbrændstoffer og smøremidler
1062,Falklandsøerne,2019,0,Mineralbrændstoffer og smøremidler
1063,Falklandsøerne,2020,0,Mineralbrændstoffer og smøremidler
1064,Falklandsøerne,2021,0,Mineralbrændstoffer og smøremidler
1076,Fiji,2018,152,Mineralbrændstoffer og smøremidler
1077,Fiji,2019,132,Mineralbrændstoffer og smøremidler
1078,Fiji,2020,0,Mineralbrændstoffer og smøremidler
1079,Fiji,2021,53,Mineralbrændstoffer og smøremidler
1091,Filippinerne,2018,3758,Mineralbrændstoffer og smøremidler
1092,Filippinerne,2019,27485,Mineralbrændstoffer og smøremidler
1093,Filippinerne,2020,15288,Mineralbrændstoffer og smøremidler
1094,Filippinerne,2021,10607,Mineralbrændstoffer og smøremidler
1106,Finland,2018,1794409,Mineralbrændstoffer og smøremidler
1107,Finland,2019,1525042,Mineralbrændstoffer og smøremidler
1108,Finland,2020,1001992,Mineralbrændstoffer og smøremidler
1109,Finland,2021,1069751,Mineralbrændstoffer og smøremidler
1121,Forenede Arabiske Emirater,2018,66580,Mineralbrændstoffer og smøremidler
1122,Forenede Arabiske Emirater,2019,142471,Mineralbrændstoffer og smøremidler
1123,Forenede Arabiske Emirater,2020,311322,Mineralbrændstoffer og smøremidler
1124,Forenede Arabiske Emirater,2021,52587,Mineralbrændstoffer og smøremidler
1136,Frankrig og Monaco,2018,487159,Mineralbrændstoffer og smøremidler
1137,Frankrig og Monaco,2019,549292,Mineralbrændstoffer og smøremidler
1138,Frankrig og Monaco,2020,425846,Mineralbrændstoffer og smøremidler
1139,Frankrig og Monaco,2021,714900,Mineralbrændstoffer og smøremidler
1151,Fransk Guyana,2018,0,Mineralbrændstoffer og smøremidler
1152,Fransk Guyana,2019,0,Mineralbrændstoffer og smøremidler
1153,Fransk Guyana,2020,0,Mineralbrændstoffer og smøremidler
1154,Fransk Guyana,2021,0,Mineralbrændstoffer og smøremidler
1166,Fransk Polynesien,2018,0,Mineralbrændstoffer og smøremidler
1167,Fransk Polynesien,2019,852,Mineralbrændstoffer og smøremidler
1168,Fransk Polynesien,2020,0,Mineralbrændstoffer og smøremidler
1169,Fransk Polynesien,2021,0,Mineralbrændstoffer og smøremidler
1181,Franske besiddelser i det sydlige Indiske Ocean,2018,158,Mineralbrændstoffer og smøremidler
1182,Franske besiddelser i det sydlige Indiske Ocean,2019,67,Mineralbrændstoffer og smøremidler
1183,Franske besiddelser i det sydlige Indiske Ocean,2020,65,Mineralbrændstoffer og smøremidler
1184,Franske besiddelser i det sydlige Indiske Ocean,2021,96,Mineralbrændstoffer og smøremidler
1196,Fremmede tropper i Tyskland,2018,0,Mineralbrændstoffer og smøremidler
1197,Fremmede tropper i Tyskland,2019,0,Mineralbrændstoffer og smøremidler
1198,Fremmede tropper i Tyskland,2020,0,Mineralbrændstoffer og smøremidler
1199,Fremmede tropper i Tyskland,2021,0,Mineralbrændstoffer og smøremidler
1211,Færøerne,2018,708996,Mineralbrændstoffer og smøremidler
1212,Færøerne,2019,633033,Mineralbrændstoffer og smøremidler
1213,Færøerne,2020,207631,Mineralbrændstoffer og smøremidler
1214,Færøerne,2021,265732,Mineralbrændstoffer og smøremidler
1226,Gabon,2018,968,Mineralbrændstoffer og smøremidler
1227,Gabon,2019,23102,Mineralbrændstoffer og smøremidler
1228,Gabon,2020,187,Mineralbrændstoffer og smøremidler
1229,Gabon,2021,28173,Mineralbrændstoffer og smøremidler
1241,Gambia,2018,24,Mineralbrændstoffer og smøremidler
1242,Gambia,2019,70,Mineralbrændstoffer og smøremidler
1243,Gambia,2020,54,Mineralbrændstoffer og smøremidler
1244,Gambia,2021,79,Mineralbrændstoffer og smøremidler
1256,Gaza og Jericho,2018,0,Mineralbrændstoffer og smøremidler
1257,Gaza og Jericho,2019,0,Mineralbrændstoffer og smøremidler
1258,Gaza og Jericho,2020,0,Mineralbrændstoffer og smøremidler
1259,Gaza og Jericho,2021,0,Mineralbrændstoffer og smøremidler
1271,Georgien,2018,1282,Mineralbrændstoffer og smøremidler
1272,Georgien,2019,810,Mineralbrændstoffer og smøremidler
1273,Georgien,2020,537,Mineralbrændstoffer og smøremidler
1274,Georgien,2021,390,Mineralbrændstoffer og smøremidler
1286,Ghana,2018,6773,Mineralbrændstoffer og smøremidler
1287,Ghana,2019,8471,Mineralbrændstoffer og smøremidler
1288,Ghana,2020,7116,Mineralbrændstoffer og smøremidler
1289,Ghana,2021,7865,Mineralbrændstoffer og smøremidler
1301,Gibraltar,2018,25672,Mineralbrændstoffer og smøremidler
1302,Gibraltar,2019,83484,Mineralbrændstoffer og smøremidler
1303,Gibraltar,2020,61878,Mineralbrændstoffer og smøremidler
1304,Gibraltar,2021,329871,Mineralbrændstoffer og smøremidler
1316,Grenada,2018,0,Mineralbrændstoffer og smøremidler
1317,Grenada,2019,78,Mineralbrændstoffer og smøremidler
1318,Grenada,2020,197,Mineralbrændstoffer og smøremidler
1319,Grenada,2021,205,Mineralbrændstoffer og smøremidler
1331,Grækenland,2018,52640,Mineralbrændstoffer og smøremidler
1332,Grækenland,2019,156405,Mineralbrændstoffer og smøremidler
1333,Grækenland,2020,98036,Mineralbrændstoffer og smøremidler
1334,Grækenland,2021,30992,Mineralbrændstoffer og smøremidler
1346,Grønland,2018,136106,Mineralbrændstoffer og smøremidler
1347,Grønland,2019,113062,Mineralbrændstoffer og smøremidler
1348,Grønland,2020,135133,Mineralbrændstoffer og smøremidler
1349,Grønland,2021,160227,Mineralbrændstoffer og smøremidler
1361,Guadeloupe,2018,0,Mineralbrændstoffer og smøremidler
1362,Guadeloupe,2019,0,Mineralbrændstoffer og smøremidler
1363,Guadeloupe,2020,0,Mineralbrændstoffer og smøremidler
1364,Guadeloupe,2021,0,Mineralbrændstoffer og smøremidler
1376,Guam,2018,30,Mineralbrændstoffer og smøremidler
1377,Guam,2019,23,Mineralbrændstoffer og smøremidler
1378,Guam,2020,0,Mineralbrændstoffer og smøremidler
1379,Guam,2021,23,Mineralbrændstoffer og smøremidler
1391,Guatemala,2018,1086,Mineralbrændstoffer og smøremidler
1392,Guatemala,2019,1683,Mineralbrændstoffer og smøremidler
1393,Guatemala,2020,985,Mineralbrændstoffer og smøremidler
1394,Guatemala,2021,1350,Mineralbrændstoffer og smøremidler
1406,Guinea,2018,506,Mineralbrændstoffer og smøremidler
1407,Guinea,2019,795,Mineralbrændstoffer og smøremidler
1408,Guinea,2020,401,Mineralbrændstoffer og smøremidler
1409,Guinea,2021,778,Mineralbrændstoffer og smøremidler
1421,Guinea-Bissau,2018,14,Mineralbrændstoffer og smøremidler
1422,Guinea-Bissau,2019,0,Mineralbrændstoffer og smøremidler
1423,Guinea-Bissau,2020,0,Mineralbrændstoffer og smøremidler
1424,Guinea-Bissau,2021,0,Mineralbrændstoffer og smøremidler
1436,Guyana,2018,14,Mineralbrændstoffer og smøremidler
1437,Guyana,2019,83,Mineralbrændstoffer og smøremidler
1438,Guyana,2020,170,Mineralbrændstoffer og smøremidler
1439,Guyana,2021,226,Mineralbrændstoffer og smøremidler
1451,Haiti,2018,4534,Mineralbrændstoffer og smøremidler
1452,Haiti,2019,2960,Mineralbrændstoffer og smøremidler
1453,Haiti,2020,4049,Mineralbrændstoffer og smøremidler
1454,Haiti,2021,2353,Mineralbrændstoffer og smøremidler
1466,Heard- og McDonaldøerne,2018,0,Mineralbrændstoffer og smøremidler
1467,Heard- og McDonaldøerne,2019,0,Mineralbrændstoffer og smøremidler
1468,Heard- og McDonaldøerne,2020,0,Mineralbrændstoffer og smøremidler
1469,Heard- og McDonaldøerne,2021,0,Mineralbrændstoffer og smøremidler
1481,Honduras,2018,174,Mineralbrændstoffer og smøremidler
1482,Honduras,2019,38,Mineralbrændstoffer og smøremidler
1483,Honduras,2020,441,Mineralbrændstoffer og smøremidler
1484,Honduras,2021,56,Mineralbrændstoffer og smøremidler
1496,Hongkong,2018,37097,Mineralbrændstoffer og smøremidler
1497,Hongkong,2019,126617,Mineralbrændstoffer og smøremidler
1498,Hongkong,2020,178984,Mineralbrændstoffer og smøremidler
1499,Hongkong,2021,226058,Mineralbrændstoffer og smøremidler
1511,Indien,2018,83121,Mineralbrændstoffer og smøremidler
1512,Indien,2019,98238,Mineralbrændstoffer og smøremidler
1513,Indien,2020,61838,Mineralbrændstoffer og smøremidler
1514,Indien,2021,102472,Mineralbrændstoffer og smøremidler
1526,Indonesien,2018,10296,Mineralbrændstoffer og smøremidler
1527,Indonesien,2019,7827,Mineralbrændstoffer og smøremidler
1528,Indonesien,2020,5106,Mineralbrændstoffer og smøremidler
1529,Indonesien,2021,33135,Mineralbrændstoffer og smøremidler
1541,Irak,2018,2014,Mineralbrændstoffer og smøremidler
1542,Irak,2019,2761,Mineralbrændstoffer og smøremidler
1543,Irak,2020,2468,Mineralbrændstoffer og smøremidler
1544,Irak,2021,2252,Mineralbrændstoffer og smøremidler
1556,Iran,2018,10546,Mineralbrændstoffer og smøremidler
1557,Iran,2019,12136,Mineralbrændstoffer og smøremidler
1558,Iran,2020,6241,Mineralbrændstoffer og smøremidler
1559,Iran,2021,8043,Mineralbrændstoffer og smøremidler
1571,Irland,2018,71065,Mineralbrændstoffer og smøremidler
1572,Irland,2019,43483,Mineralbrændstoffer og smøremidler
1573,Irland,2020,65682,Mineralbrændstoffer og smøremidler
1574,Irland,2021,340267,Mineralbrændstoffer og smøremidler
1586,Island,2018,325513,Mineralbrændstoffer og smøremidler
