ID,LAND,TID,SITC,INDHOLD
1303,Gibraltar,2020,Maskiner og transportmidler,146
1304,Gibraltar,2021,Maskiner og transportmidler,344
1316,Grenada,2018,Maskiner og transportmidler,61
1317,Grenada,2019,Maskiner og transportmidler,0
1318,Grenada,2020,Maskiner og transportmidler,2
1319,Grenada,2021,Maskiner og transportmidler,115
1331,Grækenland,2018,Maskiner og transportmidler,44432
1332,Grækenland,2019,Maskiner og transportmidler,108460
1333,Grækenland,2020,Maskiner og transportmidler,46991
1334,Grækenland,2021,Maskiner og transportmidler,570609
1346,Grønland,2018,Maskiner og transportmidler,3529
1347,Grønland,2019,Maskiner og transportmidler,4903
1348,Grønland,2020,Maskiner og transportmidler,8820
1349,Grønland,2021,Maskiner og transportmidler,21415
1361,Guadeloupe,2018,Maskiner og transportmidler,0
1362,Guadeloupe,2019,Maskiner og transportmidler,0
1363,Guadeloupe,2020,Maskiner og transportmidler,0
1364,Guadeloupe,2021,Maskiner og transportmidler,0
1376,Guam,2018,Maskiner og transportmidler,0
1377,Guam,2019,Maskiner og transportmidler,0
1378,Guam,2020,Maskiner og transportmidler,0
1379,Guam,2021,Maskiner og transportmidler,0
1391,Guatemala,2018,Maskiner og transportmidler,0
1392,Guatemala,2019,Maskiner og transportmidler,15
1393,Guatemala,2020,Maskiner og transportmidler,37
1394,Guatemala,2021,Maskiner og transportmidler,44
1406,Guinea,2018,Maskiner og transportmidler,143
1407,Guinea,2019,Maskiner og transportmidler,28
1408,Guinea,2020,Maskiner og transportmidler,80
1409,Guinea,2021,Maskiner og transportmidler,115
1421,Guinea-Bissau,2018,Maskiner og transportmidler,6
1422,Guinea-Bissau,2019,Maskiner og transportmidler,6
1423,Guinea-Bissau,2020,Maskiner og transportmidler,0
1424,Guinea-Bissau,2021,Maskiner og transportmidler,47
1436,Guyana,2018,Maskiner og transportmidler,0
1437,Guyana,2019,Maskiner og transportmidler,61
1438,Guyana,2020,Maskiner og transportmidler,47
1439,Guyana,2021,Maskiner og transportmidler,0
1451,Haiti,2018,Maskiner og transportmidler,107
