,LAND,TID,SITC,INDHOLD
1543,Irak,2020,Diverse fremstillede varer,0
1544,Irak,2021,Diverse fremstillede varer,69
1556,Iran,2018,Diverse fremstillede varer,31296
1557,Iran,2019,Diverse fremstillede varer,17445
1558,Iran,2020,Diverse fremstillede varer,13007
1559,Iran,2021,Diverse fremstillede varer,19282
1571,Irland,2018,Diverse fremstillede varer,36608
1572,Irland,2019,Diverse fremstillede varer,39529
1573,Irland,2020,Diverse fremstillede varer,34498
1574,Irland,2021,Diverse fremstillede varer,35441
1586,Island,2018,Diverse fremstillede varer,2299
1587,Island,2019,Diverse fremstillede varer,2783
1588,Island,2020,Diverse fremstillede varer,2196
1589,Island,2021,Diverse fremstillede varer,3927
1601,Israel,2018,Diverse fremstillede varer,17257
1602,Israel,2019,Diverse fremstillede varer,15393
1603,Israel,2020,Diverse fremstillede varer,24946
1604,Israel,2021,Diverse fremstillede varer,33504
1616,Italien,2018,Diverse fremstillede varer,1019710
1617,Italien,2019,Diverse fremstillede varer,989648
1618,Italien,2020,Diverse fremstillede varer,1053499
1619,Italien,2021,Diverse fremstillede varer,1307204
1631,Jamaica,2018,Diverse fremstillede varer,0
1632,Jamaica,2019,Diverse fremstillede varer,2
1633,Jamaica,2020,Diverse fremstillede varer,0
1634,Jamaica,2021,Diverse fremstillede varer,4
1646,Japan,2018,Diverse fremstillede varer,61288
1647,Japan,2019,Diverse fremstillede varer,55488
1648,Japan,2020,Diverse fremstillede varer,42483
1649,Japan,2021,Diverse fremstillede varer,58011
1661,Jordan,2018,Diverse fremstillede varer,8
1662,Jordan,2019,Diverse fremstillede varer,0
1663,Jordan,2020,Diverse fremstillede varer,9
1664,Jordan,2021,Diverse fremstillede varer,106
1676,Jugoslavien,2018,Diverse fremstillede varer,0
1677,Jugoslavien,2019,Diverse fremstillede varer,0
1678,Jugoslavien,2020,Diverse fremstillede varer,0
1679,Jugoslavien,2021,Diverse fremstillede varer,0
1691,Juleøen,2018,Diverse fremstillede varer,0
1692,Juleøen,2019,Diverse fremstillede varer,0
1693,Juleøen,2020,Diverse fremstillede varer,0
1694,Juleøen,2021,Diverse fremstillede varer,0
1706,Kanariske Øer,2018,Diverse fremstillede varer,0
1707,Kanariske Øer,2019,Diverse fremstillede varer,0
1708,Kanariske Øer,2020,Diverse fremstillede varer,0
1709,Kanariske Øer,2021,Diverse fremstillede varer,0
1721,Kap Verde,2018,Diverse fremstillede varer,6
1722,Kap Verde,2019,Diverse fremstillede varer,0
1723,Kap Verde,2020,Diverse fremstillede varer,0
1724,Kap Verde,2021,Diverse fremstillede varer,0
1736,Kasakhstan,2018,Diverse fremstillede varer,425
1737,Kasakhstan,2019,Diverse fremstillede varer,407
1738,Kasakhstan,2020,Diverse fremstillede varer,380
1739,Kasakhstan,2021,Diverse fremstillede varer,1
1751,Kenya,2018,Diverse fremstillede varer,367
1752,Kenya,2019,Diverse fremstillede varer,348
1753,Kenya,2020,Diverse fremstillede varer,75
1754,Kenya,2021,Diverse fremstillede varer,166
1766,Kina,2018,Diverse fremstillede varer,3863700
1767,Kina,2019,Diverse fremstillede varer,4063689
1768,Kina,2020,Diverse fremstillede varer,5025577
1769,Kina,2021,Diverse fremstillede varer,5975069
1781,Kirgisistan,2018,Diverse fremstillede varer,3
1782,Kirgisistan,2019,Diverse fremstillede varer,0
1783,Kirgisistan,2020,Diverse fremstillede varer,0
1784,Kirgisistan,2021,Diverse fremstillede varer,10
1796,Kosovo,2018,Diverse fremstillede varer,271
1797,Kosovo,2019,Diverse fremstillede varer,682
1798,Kosovo,2020,Diverse fremstillede varer,64
1799,Kosovo,2021,Diverse fremstillede varer,694
1811,Kroatien,2018,Diverse fremstillede varer,37006
1812,Kroatien,2019,Diverse fremstillede varer,40721
1813,Kroatien,2020,Diverse fremstillede varer,49391
1814,Kroatien,2021,Diverse fremstillede varer,58730
1826,Kuwait,2018,Diverse fremstillede varer,115
1827,Kuwait,2019,Diverse fremstillede varer,9
1828,Kuwait,2020,Diverse fremstillede varer,2
1829,Kuwait,2021,Diverse fremstillede varer,37
1841,Laos,2018,Diverse fremstillede varer,26
1842,Laos,2019,Diverse fremstillede varer,66
