,LAND,TID,INDHOLD,SITC
1183,Franske besiddelser i det sydlige Indiske Ocean,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
1184,Franske besiddelser i det sydlige Indiske Ocean,2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
1196,Fremmede tropper i Tyskland,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
1197,Fremmede tropper i Tyskland,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
1198,Fremmede tropper i Tyskland,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
1199,Fremmede tropper i Tyskland,2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
1211,Færøerne,2018,939621,"levende dyr, fødevarer, drikkevarer og tobak"
1212,Færøerne,2019,1065464,"levende dyr, fødevarer, drikkevarer og tobak"
1213,Færøerne,2020,1068845,"levende dyr, fødevarer, drikkevarer og tobak"
1214,Færøerne,2021,1551184,"levende dyr, fødevarer, drikkevarer og tobak"
1226,Gabon,2018,1,"levende dyr, fødevarer, drikkevarer og tobak"
1227,Gabon,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
1228,Gabon,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
1229,Gabon,2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
1241,Gambia,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
1242,Gambia,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
1243,Gambia,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
1244,Gambia,2021,19,"levende dyr, fødevarer, drikkevarer og tobak"
1256,Gaza og Jericho,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
1257,Gaza og Jericho,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
1258,Gaza og Jericho,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
1259,Gaza og Jericho,2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
1271,Georgien,2018,3312,"levende dyr, fødevarer, drikkevarer og tobak"
1272,Georgien,2019,755,"levende dyr, fødevarer, drikkevarer og tobak"
1273,Georgien,2020,1180,"levende dyr, fødevarer, drikkevarer og tobak"
1274,Georgien,2021,298,"levende dyr, fødevarer, drikkevarer og tobak"
1286,Ghana,2018,263325,"levende dyr, fødevarer, drikkevarer og tobak"
1287,Ghana,2019,403289,"levende dyr, fødevarer, drikkevarer og tobak"
1288,Ghana,2020,136381,"levende dyr, fødevarer, drikkevarer og tobak"
1289,Ghana,2021,75264,"levende dyr, fødevarer, drikkevarer og tobak"
1301,Gibraltar,2018,23,"levende dyr, fødevarer, drikkevarer og tobak"
