ID,LAND,TID,SITC,INDHOLD
291,Philippines,2020,Diverse fremstillede varer,6436
292,Philippines,2021,Diverse fremstillede varer,5948
293,Finland,2018,Diverse fremstillede varer,391823
294,Finland,2019,Diverse fremstillede varer,297419
295,Finland,2020,Diverse fremstillede varer,283753
296,Finland,2021,Diverse fremstillede varer,405462
297,United Arab Emirates,2018,Diverse fremstillede varer,3232
298,United Arab Emirates,2019,Diverse fremstillede varer,3772
299,United Arab Emirates,2020,Diverse fremstillede varer,3157
300,United Arab Emirates,2021,Diverse fremstillede varer,5579
301,France,2018,Diverse fremstillede varer,271868
302,France,2019,Diverse fremstillede varer,312514
303,France,2020,Diverse fremstillede varer,364168
304,France,2021,Diverse fremstillede varer,456252
305,France,2018,Diverse fremstillede varer,0
306,France,2019,Diverse fremstillede varer,0
307,France,2020,Diverse fremstillede varer,0
308,France,2021,Diverse fremstillede varer,0
309,France,2018,Diverse fremstillede varer,0
310,France,2019,Diverse fremstillede varer,0
311,France,2020,Diverse fremstillede varer,0
312,France,2021,Diverse fremstillede varer,0
313,France,2018,Diverse fremstillede varer,0
314,France,2019,Diverse fremstillede varer,0
315,France,2020,Diverse fremstillede varer,1
316,France,2021,Diverse fremstillede varer,1
317,Germany,2018,Diverse fremstillede varer,0
318,Germany,2019,Diverse fremstillede varer,0
319,Germany,2020,Diverse fremstillede varer,0
320,Germany,2021,Diverse fremstillede varer,0
321,Faroe Islands,2018,Diverse fremstillede varer,343
322,Faroe Islands,2019,Diverse fremstillede varer,982
323,Faroe Islands,2020,Diverse fremstillede varer,1351
324,Faroe Islands,2021,Diverse fremstillede varer,2010
325,Gabon,2018,Diverse fremstillede varer,346
326,Gabon,2019,Diverse fremstillede varer,334
327,Gabon,2020,Diverse fremstillede varer,0
328,Gabon,2021,Diverse fremstillede varer,0
329,Gambia,2018,Diverse fremstillede varer,0
330,Gambia,2019,Diverse fremstillede varer,0
331,Gambia,2020,Diverse fremstillede varer,3
332,Gambia,2021,Diverse fremstillede varer,0
333,Gaza and Jericho,2018,Diverse fremstillede varer,0
334,Gaza and Jericho,2019,Diverse fremstillede varer,0
335,Gaza and Jericho,2020,Diverse fremstillede varer,0
336,Gaza and Jericho,2021,Diverse fremstillede varer,0
337,Georgia,2018,Diverse fremstillede varer,0
338,Georgia,2019,Diverse fremstillede varer,0
339,Georgia,2020,Diverse fremstillede varer,3
340,Georgia,2021,Diverse fremstillede varer,0
341,Ghana,2018,Diverse fremstillede varer,3302
342,Ghana,2019,Diverse fremstillede varer,3498
343,Ghana,2020,Diverse fremstillede varer,2686
344,Ghana,2021,Diverse fremstillede varer,5830
345,Gibraltar,2018,Diverse fremstillede varer,0
346,Gibraltar,2019,Diverse fremstillede varer,2
347,Gibraltar,2020,Diverse fremstillede varer,0
348,Gibraltar,2021,Diverse fremstillede varer,2
349,Grenada,2018,Diverse fremstillede varer,0
